Role Family,Role,Role Description,Role Level,Role Level Description,Skill Name,Skill Description,Skill Level,Skill Level Description,Role Type
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Making and guiding decisions,MISSING,Practitioner,"You can:
- make decisions characterised by medium levels of risk and complexity, and recommend decisions as risk and complexity increase
- build consensus between services or independent stakeholders",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Methods and tools,MISSING,Practitioner,"You can:
- build capability in methods and tools, ensuring they are adopted consistently and used effectively",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Stakeholder relationship management,"Stakeholder relationship management involves building trust, managing stakeholder expectations and communications, and remaining focused on user needs.",Practitioner,"You can:
- work with the team to develop and maintain an understanding of stakeholders
- work with the team to develop and implement stakeholder communications strategies
- identify and resolve issues, influence stakeholders and manage relationships effectively
- build long-term strategic relationships and communicate clearly and regularly with stakeholders",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Strategic design and business change,Strategy involves creating a plan to achieve a team or organisation's objectives.,Practitioner,"You can:
- demonstrate a good understanding of business issues, events and activities, and their short to long term impact
- support defining principles, patterns, standards, policies, roadmaps and vision statements
- effectively focus on outcomes rather than solutions
- help to develop, maintain or update strategy in response to feedback and findings",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Strategic thinking,Strategic thinking involves creating a plan to achieve a team or organisation's objectives.,Practitioner,"You can:
- define strategies and policies, providing guidance to others on working in the strategic context
- evaluate current strategies to ensure business requirements are being met and exceeded where possible",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Business architecture,Business architecture involves using industry standards to develop integrated views of an organisation that help implement organisational strategy and solve complex problems.,Expert,"You can:
- simplify complex business architecture frameworks into clear actions
- develop business architecture maturity in your organisation, such as through a community of practice
- lead or guide others in using best practice for business architecture, such as industry standards
- identify strategic misalignment within the organisation and make recommendations for improvement",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Communicating information,Communication involves conveying information using the most effective medium and language for the audience.,Expert,"You can:
- mediate between people and mend relationships, communicating with stakeholders at all levels
- manage stakeholder expectations and host or moderate discussions about high risk and complexity, even within constrained timescales
- speak on behalf of and represent the community to large audiences inside and outside of government",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,Practitioner,"You can:
- provide advice and recommendations to stakeholders based on your significant specialist knowledge and experience
- lead the definition of guidance and inform how the organisation approaches delivery or uses digital and data skills more effectively",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Making and guiding decisions,MISSING,Practitioner,"You can:
- make decisions characterised by medium levels of risk and complexity, and recommend decisions as risk and complexity increase
- build consensus between services or independent stakeholders",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Methods and tools,MISSING,Expert,"You can:
- set direction and give others the means and authority to advise on the best methodologies and tools for the work, ensuring they are adopted consistently
- assess the effectiveness of different approaches (such as Agile or plan-driven) and recommend tools to support organisational collaboration and build capability",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Stakeholder relationship management,"Stakeholder relationship management involves building trust, managing stakeholder expectations and communications, and remaining focused on user needs.",Expert,"You can:
- direct the stakeholder relationship strategy for your teams
- ensure stakeholder's objectives are set and support teams to meet them
- influence and negotiate with senior stakeholders to resolve issues and enable progress",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Strategic design and business change,Strategy involves creating a plan to achieve a team or organisation's objectives.,Expert,"You can:
- demonstrate a strong understanding of business issues, events and activities and their short to long term impact
- define principles, patterns, standards, policies, roadmaps and vision statements
- effectively focus on outcomes rather than solutions and activities
- develop, maintain or update strategy in response to feedback and findings",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Lead business architect,"A lead business architect uses their expert knowledge and experience to direct the work addressing high level and complex business scenarios. They support and lead other business architects.

At this role level, you will:
- be accountable for outputs produced by the business architecture team
- lead and direct the application of architectural principles, methods, and tools to business scenarios
- use architectural methods to form a view of the whole enterprise in a way that is easily understood by stakeholders
- work with stakeholders at executive levels
- provide overall direction, guidance, and definition of business architecture to support strategy
- develop and maintain a strong business architecture capability through coaching, mentoring, and training",Strategic thinking,Strategic thinking involves creating a plan to achieve a team or organisation's objectives.,Practitioner,"You can:
- define strategies and policies, providing guidance to others on working in the strategic context
- evaluate current strategies to ensure business requirements are being met and exceeded where possible",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Trainee business architect,"A trainee business architect supports the more senior business architect roles. They also receive training on the tasks they support so they can work on their own.

At this role level, you will:
- develop your knowledge of the frameworks, practice, and principles of business architecture
- work with other business architects to support the production of clear business architecture outputs
- support during workshops and meetings with stakeholders in the organisation",Business architecture,Business architecture involves using industry standards to develop integrated views of an organisation that help implement organisational strategy and solve complex problems.,Awareness,"You can:
- show an awareness of business architecture frameworks, principles and techniques
- support the application of frameworks to business change in an organisation, under guidance",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Trainee business architect,"A trainee business architect supports the more senior business architect roles. They also receive training on the tasks they support so they can work on their own.

At this role level, you will:
- develop your knowledge of the frameworks, practice, and principles of business architecture
- work with other business architects to support the production of clear business architecture outputs
- support during workshops and meetings with stakeholders in the organisation",Communicating information,Communication involves conveying information using the most effective medium and language for the audience.,Awareness,"You can:
- listen to the needs of design and business stakeholders and interpret information
- take part in discussions within a multidisciplinary team",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Trainee business architect,"A trainee business architect supports the more senior business architect roles. They also receive training on the tasks they support so they can work on their own.

At this role level, you will:
- develop your knowledge of the frameworks, practice, and principles of business architecture
- work with other business architects to support the production of clear business architecture outputs
- support during workshops and meetings with stakeholders in the organisation",Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,Awareness,"You can:
- show an understanding of the need for consulting in your role, and its purpose
- work under guidance to identify what advice, guidance and recommendations might be appropriate, usually by referring to previous work by others
- show an understanding of how to frame problems that need to be solved",
