Skill Name,Skill Description,Awareness,Working,Practitioner,Expert,Roles that require Skill
"Applied maths, statistics and scientific practices","Applied mathematics and statistics involves applying analytical methods including exploratory data analysis, visualisation and statistical testing to help make accurate recommendations.","You can:
- show an understanding of the benefits of applied mathematics and statistics, and can use this knowledge to carry out data science tasks
- carry out general analysis techniques for data inspection, exploration and visualisation
- interpret statistical output effectively and accurately
- show an awareness of different performance and accuracy metrics for statistical assessment and validation","You can:
- apply analytical methods including exploratory data analysis and statistical testing to a specific data set, to reach accurate and reliable conclusions
- understand and use different performance and accuracy metrics for model validation in data science projects, hypothesis testing and information retrieval
- compare selected applied mathematics and statistical methods and identify their differences
- access and use the statistical and scientific tools available within the organisation","You can:
- apply designated quantitative techniques such as time series analysis, optimisation and simulation to create and embed appropriate models for analysis and prediction
- provide guidance on matching data sources with relevant applied mathematics and statistical techniques to meet analysis goals
- apply appropriate statistical techniques to available data to discover new relations and offer insight into research problems, helping to improve organisational processes and support decision making
- access and use the statistical tools available within the organisation","You can:
- identify opportunities to develop statistical insight, reports and models to support organisational objectives, while collaborating across the organisation effectively
- critique statistical analyses
- use a variety of data analytics techniques (such as data mining and prescriptive and predictive analytics) for complex data analysis through the whole data life cycle
- use model outputs to produce evidence and help design services and policies
- understand a broad range of statistical tools, particularly those deployed within the organisation, and can use these appropriately and help others to use them","Data scientist, Machine learning engineer"
Applied social sciences,Applied social science involves using an understanding of the social sciences to evaluate and challenge assumptions made in relevant projects.,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- explain social sciences, such as anthropology, economics, sociology, philosophy, psychology or race theory. You can apply social science theories to inform data projects, products and policies
- evaluate and challenge assumptions made in data science projects
- can work with academics and external researchers. You can describe emerging theories and concepts","You can:
- explain complex concepts across the social sciences, such as anthropology, economics, sociology, philosophy, psychology or race theory
- apply various social science theories to the strategic oversight of data projects, products and policies
- apply various social science theories to evaluate and challenge assumptions made in data science projects
- identify and use best practice in data ethics
- work with academics and external researchers to publish research on applied digital ethics",Data ethicist
Applying statistical and analytical tools and techniques,Applying statistical and analytical techniques involves using and evaluating methods to answer research questions and make data-informed recommendations.,"You can:
- support the development of statistical and analytical insights and reports under supervision
- explain the benefits of basic statistical and analytical techniques
- explain the value of quality assurance and best practices in developing statistical and analytical outputs","You can:
- contribute to the development of statistical and analytical insights and reports
- apply appropriate statistical and analytical techniques under supervision to answer research questions and organisational needs
- follow and apply quality assurance standards
- respond to stakeholder questions about analytical and statistical techniques","You can:
- lead the development of valuable statistical insights and reports
- identify and apply a range of statistical and analytical techniques and tools, and support others in applying them
- quality assure statistical techniques and analytical outputs across a team
- engage with stakeholders and share statistical and analytical techniques to increase understanding and trust","You can:
- identify opportunities to develop statistical insights and reports that support organisational objectives
- develop and guide others in a range of statistical and analytical techniques and tools
- oversee the quality assurance of statistical techniques and analytical outputs, continually improving and innovating practices
- use statistical and analytical outputs to influence stakeholders across the organisation and beyond",Data analyst
Applying user-centred insights,"Applying user-centred insights involves understanding all user needs and the problems that need to be solved, and applying insights to make decisions that meet these needs.","You can:
- explain the difference between user needs and what a user wants
- explain the purpose of user stories
- explain why applying user-centred insights is important
- explain how you approach understanding user needs","You can:
- identify and engage users and stakeholders to identify user needs and trends
- decide when you need more user insights and when you have enough to make a decision
- work with others to define the problem and research goals
- use quantitative and qualitative user insights to improve product or service outcomes","You can:
- use user insights to represent users in internal discussions
- advocate for research to be completed with all types of users of the product or service
- use user needs to agree the work that needs to be done and determine priorities with the team
- work with others to understand and recommend tools to get the appropriate user insight","You can:
- advocate for a range of effective research approaches across the organisation
- coach others in making decisions that meet user needs across a range of channels
- advocate for continuous use of user insights in teams
- use user insights to make strategic decisions to provide the best user experience","Product manager, Service owner"
Architect for the whole context,,"You can:
- identify relevant information that can inform your architectural work, such as strategies, roadmaps, policies and technical trends
- understand how your work supports the team in enabling change​","You can:
- align your work with the work being done by other architects and technical professionals
- track emerging issues, strategies, roadmaps, patterns and technologies over time to assess opportunities and risks to your work
- identify how other teams contribute to delivering outcomes through change","You can:
- work to support wider organisational objectives beyond your immediate goals​
- track emerging internal and external issues over time that could affect the work of teams across the organisation
- take action to solve or mitigate problems by influencing colleagues across the organisation","You can:
- assess how trends in society and industry practices might impact the organisation
- work with people outside of your organisation to inform policies, strategies and standards
- anticipate changes to policy and build resilience through your architectural work
- coach others in identifying important trends","Enterprise architect, Solution architect, Technical architect"
Architecture communication,Communication involves conveying information using the most effective medium and language for the audience.,"You can:
- show an awareness of different ways of creating architecture representations for a limited audience, including technical and non-technical stakeholders
- gather and explain information to be used in architecture representations","You can:
- listen to the needs of technical and business stakeholders
- create and use different architecture representations to communicate effectively, achieving agreement with technical and non-technical stakeholders
- provide support in discussions about architectural topics within a multidisciplinary team","You can:
- lead the communication of complicated, complex or risky architecture topics with technical and non-technical stakeholders
- communicate with senior stakeholders across your organisation
- adapt your message and communication techniques to your audience
- advocate on behalf of a team to other stakeholders
- manage stakeholder expectations effectively","You can:
- communicate with technical and non-technical stakeholders at all levels, and across organisations, using architecture communication techniques​
- mediate between people in difficult architectural discussions
- gain support from business and technical stakeholders for architectural initiatives with high levels of risk, impact and complexity
- coach and support others in architecture communication","Enterprise architect, Solution architect, Technical architect"
Asset and configuration management,"Asset and configuration management involves managing the life cycle of IT assets, such as hardware, software, intellectual property, licences and warranties, the configuration of components, and the relationships between them. Consideration is given to the usage, disposal, compliance, inventory, sustainability, cost optimisation and protection of the IT asset portfolio.","You can:
- track, log and correct information to protect assets and components","You can:
- maintain secure configuration and accurate information
- control IT assets in one or more areas
- verify the location and state of IT assets","You can:
- manage configuration items and related information
- manage service compliance and risk","You can:
- manage configuration management for the organisation, ensuring value for the business and adherence to company policies
- ensure that changes to assets are recorded and controlled appropriately
- advocate organisational commitment to asset control","Application operations engineer, Problem manager, Service desk manager, Incident manager, IT service manager, Command and control centre manager, End user computing engineer, Infrastructure operations engineer"
Availability and capacity management,"Availability and capacity management involves ensuring services are available with as little downtime or disruption as possible, and that we have sufficient resources to support emerging business needs.","You can:
- explain availability and capacity management processes","You can:
- manage service components to ensure they meet business needs and key performance indicators (KPIs)","You can:
- ensure the correct implementation of availability and capacity management standards and procedures
- identify capacity issues and implement the required changes
- initiate remedial action","You can:
- lead policy and strategy for service and capacity management
- lead the identification and implementation of required changes","Software developer, Application operations engineer, Problem manager, Incident manager, Command and control centre manager, Infrastructure operations engineer, Development operations (DevOps) engineer"
Business analysis (IT operations),Business analysis involves understanding the business needs and translating those requirements into solutions through detailed analysis and feedback.,"You can:
- investigate problems and opportunities in existing processes, and contribute to recommending solutions","You can:
- investigate problems and opportunities in existing processes, and contribute to recommending solutions
- work with stakeholders to identify objectives and potential benefits","You can:
- lead investigative work into problems and opportunities in existing processes
- lead the collection of information and creation of recommendations for improvements
- absorb large amounts of conflicting information and use it to produce solutions","You can:
- direct business analysis, including the collection of information and evidence and the identification of problems and opportunities
- ensure that recommendations fit with strategic business objectives
- communicate recommendations persuasively to important stakeholders
- identify the simplest of a variety of approaches","Business relationship manager, IT service manager"
Business architecture,Business architecture involves using industry standards to develop integrated views of an organisation that help implement organisational strategy and solve complex problems.,"You can:
- show an awareness of business architecture frameworks, principles and techniques
- support the application of frameworks to business change in an organisation, under guidance","You can:
- help support the adoption of business architecture
- clearly communicate business architecture frameworks, principles, and techniques
- support the production of a multidimensional view of your organisation
- assess the impact of strategies on the organisation, highlighting risks and issues","You can:
- apply and develop business architecture frameworks, principles and techniques in your organisation
- advise and guide the organisation to inform the implementation of its strategy
- share the value of business architecture with the organisation
- produce clear multidimensional views of your organisation to support decision making","You can:
- simplify complex business architecture frameworks into clear actions
- develop business architecture maturity in your organisation, such as through a community of practice
- lead or guide others in using best practice for business architecture, such as industry standards
- identify strategic misalignment within the organisation and make recommendations for improvement",Business architect
Business modelling,Business modelling involves documenting how your business operates and intends to achieve its goals.,"You can:
- explain basic business modelling techniques
- support the representation of business situations within a defined task
- visualise business processes","You can:
- model various elements of the business with limited direction
- understand the impact of potential changes and how business processes, systems, data, roles and responsibilities interact","You can:
- lead on the modelling of business processes, systems and data at varying levels of complexity across a project or programme
- manage the impact of proposed changes","You can:
- determine the scope and methodology for the representation of complex programmes across an organisation
- document conceptual models to support strategic planning and decision making",Business analyst
Business process improvement,"Business process improvement involves creating appropriate artefacts and analysing, modifying and testing existing and new processes to make them more efficient.","You can:
- contribute to the analysis and evaluation of business processes to identify problems and opportunities
- contribute to the design and implementation of business process improvements
- contribute to business process testing and usability evaluation","You can:
- analyse and evaluate business processes to identify problems and opportunities
- design, prioritise and facilitate the implementation of business process improvements, with some support
- validate improvements to business processes through testing","You can:
- lead process analysis and evaluation to define business performance problems and opportunities
- lead analysis and evaluation to design, test, implement and assess business process improvements
- manage the design, execution and assessment of business process tests and usability evaluations","You can:
- lead the identification of large-scale opportunities to deliver business performance improvements
- set the direction for analysis, design and evaluation of business process improvements, including methods, tools and standards
- set the direction for design, execution and assessment of business process tests and usability evaluations
- coach others in designing, testing, implementing and assessing business process improvements",Business analyst
"Capability building for digital, data and technology","You can:
- guide the organisation to ensure it has the specialist digital, data and technology skills it needs
- develop organisational processes and ways of working so that digital and data roles you support can thrive
- continuously improve and optimise the organisational environment
Examples of leadership using this skill:
- prioritising capability needs that will have the most impact
- negotiating for longer-term investment in people by articulating the risks and benefits of different staffing strategies
- advocating for good practice in ways of working and supporting people to adopt this practice
- growing digital and data communities",,,,,"Chief technology officer, Chief data officer, Chief information security officer, Chief digital and information officer"
Change management,"Change management involves managing changes to services, organisations, suppliers or configuration items, and the associated documentation.","You can:
- implement change requests
- apply change control procedures under supervision","You can:
- analyse and assess the impact of change
- document change requests
- action changes from change requests","You can:
- manage high impact, complex change requests
- ensure that release policies, procedures and processes are applied","You can:
- implement new and current change management processes
- support change management, actively improving and optimising processes","Application operations engineer, Problem manager, Incident manager, Command and control centre manager, End user computing engineer, Infrastructure operations engineer"
Changing security culture,"You can:
- put in place continuous cyber and information security awareness and education programs, for example, training for specific groups
- use a range of methods to assess whether people’s security behaviour is improving
- compare the maturity of security awareness and culture in your organisation against others across government to determine effective improvements
Examples of leadership using this skill:
- incentivising the right behaviours across the whole organisation so that everyone knows how they contribute to security
- persuading senior leadership to represent a campaign personally
- communicating insights from previous incidents to ensure they are learned from",,,,,Chief information security officer
Coding and scripting,"Coding and scripting involves designing, writing and iterating code and scripts from prototype to production.","You can:
- describe different scripting tools and software that are available and currently in use","You can:
- interact with, read and write code
- carry out baseline repair activities",This skill level is currently not defined.,This skill level is currently not defined.,"Infrastructure engineer, Infrastructure operations engineer"
Commercial management,Commercial management involves exploring commercial opportunities whilst complying with the regulations on how we conduct and manage both internal and third party relationships.,This skill level is currently not defined.,"You can:
- act as the point of contact for contracted suppliers
- understand appropriate internal contacts and processes within a government department
- understand how and when third parties should be brought into digital, data and technology projects","You can:
- take responsibility for complex relationships with contracted suppliers
- identify appropriate contractual frameworks and identify appropriate suppliers
- negotiate with contracted suppliers
- get good value out of contracts and suppliers","You can:
- act as the escalation point and resolve large or high risk commercial management issues
- coach others in appropriate commercial management","Delivery manager, Programme delivery manager"
Commercial perspective,Commercial management involves exploring commercial opportunities whilst complying with the regulations on how we conduct and manage both internal and third party relationships.,"You can:
- show an awareness of government commercial processes
- show an awareness of legal and compliance rules","You can:
- understand commercial processes and the appropriate internal contacts within a government department
- understand different sourcing strategies and when to apply them","You can:
- identify appropriate contractual frameworks and approaches
- identify, evaluate and select appropriate suppliers","You can:
- coach others in appropriate commercial, vendor and legal issues","Enterprise architect, Solution architect"
Communicating analysis and insight,,"You can:
- explain why it's important to clearly communicate findings from analysis
- explain some methods for effectively communicating findings from analysis","You can:
- choose the appropriate medium to communicate findings
- shape and share communications relevant to the audience
- present analysis and visualisations in clear ways to both specialist and non-specialist audiences, with support
- give tactical recommendations based on your analysis and insight to inform decision making","You can:
- turn complex data into compelling, clear and actionable stories
- share data communication skills with the team and across government
- present analysis and visualisations in clear ways to communicate complex messages
- communicate negative and positive information to stakeholders
- give tactical and strategic recommendations","You can:
- communicate relevant, compelling stories using the most appropriate medium 
- make complex recommendations at a tactical and strategic level","Data governance manager, Performance analyst, Digital portfolio manager, Digital evaluator"
Communicating between the technical and non-technical,Communicating between the technical and non-technical involves conveying information using the most effective medium and language for the audience.,"You can:
- explain why it's important to communicate technical concepts in non-technical language
- explain the types of communication that can be used with internal and external stakeholders, and their impact","You can:
- communicate effectively with technical and non-technical stakeholders
- support and host discussions within a multidisciplinary team, with potentially difficult dynamics
- be an advocate for the team externally
- manage differing stakeholder perspectives","You can:
- listen to and interpret the needs of technical and non-technical stakeholders, and manage their expectations
- manage active and reactive communication
- support or host difficult discussions within the team or with diverse senior stakeholders","You can:
-  mediate between people and strengthen relationships, adopting the appropriate communication method with stakeholders at all levels
- manage stakeholder expectations and moderate difficult discussions about high risk and complex topics, even within constrained timescales
- speak on behalf of, and represent the community to, large audiences inside and outside the organisation","Data analyst, Analytics engineer, Data engineer, Data architect, Data ethicist, Data governance manager, Machine learning engineer, Delivery manager, Programme delivery manager, Quality assurance test analyst, Test engineer, Test manager"
Communicating data,,"You can:
- show an awareness that data needs to be aligned to the needs of the end user
- create basic visuals and presentations","You can:
- understand the appropriate media to communicate findings
- shape communications for the audience","You can:
- turn complex data into clear and well understood solutions, which can be acted upon
- share data communication skills with the team and organisation
- understand and communicate different options, taking into account risks and uncertainties",This skill level is currently not defined.,Data architect
Communicating information,Communication involves conveying information using the most effective medium and language for the audience.,"You can:
- listen to the needs of design and business stakeholders and interpret information
- take part in discussions within a multidisciplinary team","You can:
- listen to the needs of design and business stakeholders and interpret information
- take part in discussions within a multidisciplinary team
- be an advocate for the team externally, and can manage differing perspectives
- shape and share communications relevant to the audience","You can:
- work collaboratively in a group and build relationships with others
- identify issues through Agile 'health checks' and work with others to address them
- manage stakeholder expectations
- be flexible and capable of proactive and reactive communication
- host or moderate difficult discussions within the team or with senior stakeholders","You can:
- mediate between people and mend relationships, communicating with stakeholders at all levels
- manage stakeholder expectations and host or moderate discussions about high risk and complexity, even within constrained timescales
- speak on behalf of and represent the community to large audiences inside and outside of government","Accessibility specialist, Frontend developer, Business architect"
Communication (data ethics),Communication involves conveying information using the most effective medium and language for the audience.,This skill level is currently not defined.,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- expertly translate technical concepts to non-technical audiences so they are understood by all
- demonstrate a good understanding of how technology and data products and services are built
- understand technical jargon and have sufficient knowledge to hold meaningful conversations with data science experts on issues such as minimising bias in data, or gathering, collecting, cleansing, triangulating, and reusing data
- effectively support data scientists and engineers in implementing data ethics",Data ethicist
Communication (security architect),Communication involves conveying information using the most effective medium and language for the audience.,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- demonstrate a deep understanding of security concepts and can apply them to a technical level
- effectively translate and accurately communicate security and risk implications to technical and non-technical stakeholders
- successfully respond to challenges
- manage stakeholder expectations and be flexible, adapting to stakeholder reactions to reach consensus","You can:
- demonstrate expert understanding of security concepts and can apply them to a technical level, at the highest levels of risk complexity
- effectively translate and accurately communicate security and risk implications at the most senior levels across technical and non-technical stakeholders
- successfully respond to challenges
- manage stakeholder expectations across high risk and complexity or under constrained timescales",Security architect
Community collaboration,"Collaboration in the Government Digital and Data profession typically involves working in a multidisciplinary project team, and contributing to working groups and wider professional communities. It requires a broad understanding of the technologies, principles and perspectives of related professions.","You can:
- understand the work of others and the importance of team dynamics, collaboration and feedback","You can:
- contribute to the work of others
- motivate and empower teams
- create the right environment for teams to work in, and can identify the best team makeup depending on the situation
- recognise and deal with issues","You can:
- work collaboratively in a group, actively networking with others
- adapt feedback to ensure it’s effective and lasting
- use your initiative to identify problems or issues in the team dynamic and rectify them
- identify issues through Agile ‘health checks’ with the team, and help to stimulate the right responses","You can:
- solve and unblock issues between teams or departments at the highest level
- coach the organisation on team dynamics and conflict resolution, while also building and growing the community","Frontend developer, Enterprise architect, Solution architect, Technical architect, Programme delivery manager, Problem manager, Incident manager, Command and control centre manager"
Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,"You can:
- show an understanding of the need for consulting in your role, and its purpose
- work under guidance to identify what advice, guidance and recommendations might be appropriate, usually by referring to previous work by others
- show an understanding of how to frame problems that need to be solved","You can:
- provide advice, guidance and recommendations based on your specialist knowledge and experience
- propose methodologies to follow and approaches to implementation
- frame problems so they can easily be understood, and troubleshoot where required, to support the business in operating more effectively","You can:
- provide advice and recommendations to stakeholders based on your significant specialist knowledge and experience
- lead the definition of guidance and inform how the organisation approaches delivery or uses digital and data skills more effectively",This skill level is currently not defined.,"Business analyst, Business architect, Accessibility specialist"
Content concepts and prototyping,"Prototyping a service or product involves exploring, testing and sharing different concepts before committing to the final design.","You can:
- show an awareness of prototyping and explain why and when to use it
- understand how to work in an open and collaborative environment (by pair working, for example)","You can:
- understand different prototyping techniques, from paper sketches to coded prototypes, and can use them to visualise content in context
- choose the best option to make content understandable to different audiences and to demonstrate a proposed approach to content changes or improvements
- show the value of prototyping to the team","You can:
- build and create a variety of different prototypes, from paper sketches to coded prototypes
- choose the most appropriate option to visualise content in context for different audiences
- effectively combine prototypes with other content and design outputs to test with users and show to stakeholders
- establish content patterns, and test and iterate them",This skill level is currently not defined.,Content designer
"Context, problem and option analysis","Context, problem and option analysis involves holistically investigating the context for a piece of work to define the problem or opportunity, understand root causes, identify high level business and user needs and shape the work to address those needs.","You can:
- describe the analysis techniques you could use to help understand the context, problem and options to meet business and user needs
- explain the importance of understanding that internal and external factors influence the organisation
- contribute to identifying and assessing multiple options and formulating recommendations, under supervision","You can:
- plan and use the most appropriate analysis techniques to understand the context, the problem and root causes
- communicate how your work supports and aligns to strategic contexts and goals
- define problem statements and develop and evaluate multiple options
- formulate recommendations, considering feasibility, benefits and impact","You can:
- lead the approach to understanding the context, the problem and root causes
- set goals for a piece of work that aligns to the organisation's strategic context
- lead the approach to developing and evaluating multiple options, sharing and advocating for recommendations to gain support","You can:
- advise on approaches to options analysis, feasibility and impact assessments to ensure best practice is followed
- ensure all streams of work align to the organisation's strategic context and goals
- advise on how the organisation can use business analysis skills to add value
- guide tactical decision making and influence strategic plans in a changing environment",Business analyst
