Mahasthabir Nikaya	Progressive Bangladeshi order emphasizing education and social reform.
Dwara Nikaya	Minor Bangladeshi order with distinct ordination lineage.
Shwegyin Nikaya	Burmese reform order emphasizing strict discipline and scholarship.
Thudhamma Nikaya	Largest Burmese order balancing tradition with accessibility.
Amarapura–Rāmañña Nikāya	Sri Lankan reform order emphasizing strict Vinaya observance.
Galduwa Forest Tradition	Sri Lankan meditation lineage focusing on intensive retreat practice.
Siam Nikaya	Elite Sri Lankan order historically restricted to high-caste members.
Sri Lankan Forest Tradition	Ascetic lineage emphasizing meditation in wilderness settings.
Dhammayuttika Nikaya	Thai royal order emphasizing strict Vinaya and scholarly precision.
Thai Forest Tradition	Ascetic movement emphasizing meditation and renunciate simplicity.
Maha Nikaya (Thailand)	Majority Thai order accommodating diverse regional and practice styles.
Dhammakaya Movement	Modern Thai movement teaching meditation and prosperity doctrine.
Vipassana movement (United States)	Western insight meditation adapted from Theravada sources. 
Vajrayana	"Diamond Vehicle" using tantric methods for rapid enlightenment.
Azhaliism	Naga tribal Buddhism integrating indigenous animist practices.
Bongthingism	Lepcha religion combining animism, shamanism, and Buddhist influences.
Chinese Esoteric Buddhism	Tang dynasty tantric school with mandalas and ritual practices.
Newar Buddhism	Nepalese Vajrayana blending caste system with Buddhist tantras.
Indonesian Esoteric Buddhism	Historical tantric tradition influencing Javanese culture.
Shingon Buddhism	Japanese esoteric school teaching cosmic Buddha and ritual practice.
Tachikawa-ryū	Controversial tantric sect allegedly using sexual practices.
Southern Esoteric Buddhism	Southeast Asian tantric practices blended with Theravada.
Tibetan Buddhism	Himalayan tradition integrating monasticism with tantric yoga.
Bon (syncretic)	Pre-Buddhist Tibetan religion later absorbing Buddhist elements.
Gelug	"Yellow Hat" reform order emphasizing scholasticism and monastic discipline.
Yellow Shamanism (syncretic)	Mongolian practice blending Buddhism with shamanic elements.
Kagyu	"Oral Lineage" emphasizing meditation and tantric transmission.
Dagpo Kagyu	Main Kagyu branch descended from Gampopa's teachings and disciples.
Karma Kagyu	Major Kagyu school with reincarnating Karmapa leadership system.
Drukpa Kagyu	Bhutanese state religion teaching Mahamudra and Six Yogas of Naropa.
Shangpa Kagyu	Independent lineage with distinct dakini transmission and practices.
Nyingma	"Ancient" school preserving earliest Tibetan tantric teachings.
Sakya	Aristocratic school balancing scholarship with Lamdre tantric path.
Jonang	School teaching "empty of other" doctrine and Kalachakra tantra.
Bodongpa	Small Tibetan school with unique philosophical and tantric teachings.
Navayana	Ambedkar's "New Vehicle" rejecting caste and emphasizing social justice. 
Dharmic philosophy schools	Classical Indian systems exploring knowledge, reality, and liberation.
Āstika (Orthodox schools)	Hindu philosophies accepting Vedic authority as valid knowledge source.
Nyaya	Logic and epistemology school analyzing valid means of knowledge.
Mimamsa	Ritual interpretation school analyzing Vedic commands and dharma.
Samkhya	Dualistic philosophy distinguishing consciousness from matter.
Vaisheshika	Atomistic physics school categorizing reality into substances.
Vedanta	"End of Vedas" interpreting Upanishads on Brahman, self, and liberation.
Advaita Vedanta	Non-dualist school teaching ultimate reality as singular consciousness.
Akshar-Purushottam Darshan	Swaminarayan philosophy teaching distinct soul and supreme deity.
Bhedabheda	"Difference and non-difference" teaching paradoxical unity-diversity.
Achintya Bheda Abheda	Gaudiya teaching inconceivable simultaneous oneness and difference.
Dvaitadvaita	Nimbarka's philosophy teaching non-dual dualism of soul and God.
Dvaita Vedanta	Madhva's dualist school teaching eternal distinction between souls.
Pratyabhijna	Kashmir Shaiva "recognition" philosophy of self-realization.
Shaiva Siddhanta	Dualistic Shaivaism teaching three eternal principles and liberation.
Shiva Advaita	Non-dualist Shaivism teaching Shiva as ultimate reality.
Shuddhadvaita	Vallabha's "pure non-dualism" teaching Krishna as sole reality.
Vishishtadvaita	Ramanuja's "qualified non-dualism" teaching unity with distinctions.
Yoga (philosophy)	Patanjali's system of eight-limbed meditation and mental discipline. 
Nāstika (Heterodox schools)	Indian philosophies rejecting Vedic authority as valid knowledge source.
Ajivika	Fatalist school teaching determinism and denial of free will.
Ajñana	Skeptical school suspending judgment on metaphysical questions.
Akiriya	Non-action philosophy denying moral causation and karmic consequences.
Buddhism	Tradition teaching impermanence, non-self, and middle path to nirvana.
Charvaka	Materialist philosophy rejecting afterlife and promoting sensory pleasure.
Jainism	Ascetic tradition teaching non-violence and soul purification.
Sassatavada	Eternalist view teaching permanent unchanging self or essence.
Hinduism	Diverse traditions sharing sacred texts, karma, and cyclical cosmology.
Ganapatya	Tradition worshiping Ganesha as supreme deity.
Halumatha	Regional movement venerating local deity with folk practices.
Sant Mat	North Indian devotional movement teaching inner spiritual path.
Dadupanth	Rajasthani sect following Dadu Dayal's teachings on formless God.
Kabir panth	Movement following poet-saint Kabir's syncretic devotional teachings.
Ravidassia religion	Dalit movement following saint Ravidas rejecting caste hierarchy.
Sadh	Mystic tradition teaching direct divine experience beyond ritual.
Satya Mahima Dharma	Odishan monotheistic reform movement rejecting idol worship. 
Shaivism	Traditions worshiping Shiva as supreme deity and cosmic principle.
Aghori	Extreme ascetics using transgressive practices to transcend dualities.
Kapalika	Historical skull-bearing tantric sect with antinomian rituals.
Kashmir Shaivism	Non-dualist tradition teaching consciousness as ultimate reality.
Kaumaram	Tradition worshiping Kartikeya/Murugan as supreme deity.
Nath	Yogic tradition emphasizing Hatha yoga and body transformation.
Adinath Sampradaya	Nath lineage tracing to Matsyendranath and tantric practices.
Inchegeri Sampradaya	Modern Nath revival emphasizing meditation and householder life.
Pashupata Shaivism	Ancient ascetic order worshiping Shiva as Lord of Beasts.
Shaiva Siddhanta	Southern dualistic tradition teaching souls' union with Shiva.
Veerashaivism	Devotional movement emphasizing personal Shiva-linga and equality.
Lingayatism	South Indian Shaiva reform rejecting caste and Vedic authority.
Shaktism	Goddess-centered traditions worshiping divine feminine power.
Caribbean Shaktism	Indo-Caribbean adaptation maintaining goddess worship traditions.
Srikula	Tantric tradition worshiping Lalita Tripurasundari as supreme goddess.
Smartism	Orthodox tradition worshiping five deities with Advaita philosophy.
Śrauta	Conservative Vedic ritualism maintaining ancient fire sacrifices.
Tantra	Esoteric practices using ritual, yoga, and transgression for liberation.
Kaula	Non-dualist tantric tradition emphasizing divine feminine and sexual ritual.
Newar Hinduism	Nepalese Hinduism blending Vedic, tantric, and Buddhist elements. 
Vaishnavism/Krishnaism	Traditions worshiping Vishnu/Krishna as supreme deity.
Balmikism	North Indian movement venerating sage Valmiki as divine figure.
Bhagavata tradition	Ancient devotional movement centered on Krishna worship.
Brahma Sampradaya	Vaishnava lineage founded by Madhvacharya teaching dualism.
Madhva tradition	Dualist school teaching eternal distinction between God and souls.
Gaudiya Vaishnavism	Bengali tradition emphasizing passionate devotion to Radha-Krishna.
Manipuri Vaishnavism	Northeastern adaptation integrating local culture with Krishna bhakti.
Haridasa	South Indian devotional movement through song and poetry.
Ekasarana Dharma	Assamese tradition teaching single-minded surrender to Krishna.
Kapadi Sampradaya	Rare Vaishnava lineage with distinct theological teachings.
Mahanubhava	Maharashtrian sect teaching Krishna as sole supreme reality.
Nimbarka Sampradaya	Lineage teaching devotion to Radha-Krishna and dual non-dualism.
Pranami/Pranami Sampraday	Syncretic tradition blending Vaishnavism with Islamic elements. 
Radha Vallabh Sampradaya	Lineage emphasizing Radha as supreme, with Krishna as her consort.
Ramsnehi Sampradaya	Rajasthani tradition teaching devotion to formless Ram beyond idolatry.
Rudra Sampradaya	Vaishnava lineage descended from Shiva teaching devotion and philosophy.
Pushtimarg	"Path of Grace" teaching complete surrender to Krishna's divine will.
Sri Vaishnavism	South Indian tradition worshiping Vishnu-Lakshmi with temple ritual.
Ramanandi Sampradaya	North Indian sect worshiping Rama and emphasizing accessibility.
Thenkalais	"Southern culture" Sri Vaishnava branch emphasizing Tamil traditions.
Manavala Mamunigal Sabha	Thenkalai sub-group following particular interpretations and practices.
Vaishnava-Sahajiya	Bengali tantric tradition teaching ritual union with Krishna.
Warkari	Maharashtrian pilgrimage tradition venerating Vithoba at Pandharpur.
Zunism (disputedly Hindu)	Manipuri pre-Hindu tradition with supreme creator deity worship. 
Syncretic Hinduism	Regional forms blending Hinduism with local traditions and beliefs.
Banjara Hinduism	Nomadic community's traditions mixing mainstream and tribal elements.
Bengali folk religion	Village practices blending Hinduism, Buddhism, and local cults.
Baul	Syncretic mystic tradition rejecting caste through music and wandering.
Kartabhaja	Bengali tantric sect teaching equality and esoteric practices.
Matuaism	Lower-caste Bengali movement following Harichand Thakur's teachings.
Bhil Hinduism	Tribal adaptation blending Hinduism with indigenous animism.
Folk Hinduism	Village-level practices mixing elite Hinduism with local customs.
Dyaoism	Tribal religion worshiping sky god with shamanic practices.
Indonesian Hinduism	Southeast Asian forms adapted to local culture and politics.
Balinese Hinduism	Unique Indonesian blend with ancestor worship and local deities.
Javanese Hinduism	Historical Indonesian form influencing culture and arts.
Tenggerese Hinduism	East Javan tradition maintaining pre-Islamic Hindu practices.
Kaharingan	Dayak indigenous religion officially recognized as Hindu variant.
Naurus	Timorese animist tradition classified under Hindu umbrella.
Nuaulu religion	Seram island tradition with Hindu-influenced cosmology. 
Jainism	Ancient ascetic tradition teaching non-violence and soul liberation.
Digambara	"Sky-clad" monks practicing nudity and strict renunciation.
Kanji Panth	Reform movement emphasizing scriptural study over ritual.
Taran Panth	Non-idolatrous sect rejecting temple worship and priests.
Śvētāmbara	"White-clad" tradition allowing minimal possessions for monks.
Murtipujaka	Śvētāmbara branch practicing temple worship and idol veneration.
Sthānakavāsī	Non-idolatrous Śvētāmbara sect meeting in simple halls.
Yapaniya (Historical)	Extinct sect combining Digambara and Śvētāmbara practices.
Sikhism	Monotheistic tradition teaching devotion, equality, and service.
Tat Khalsa	Orthodox reform movement emphasizing distinct Sikh identity.
Udasi	Ascetic order founded by Guru Nanak's son following renunciate path.
Nanakpanthi	Movement emphasizing Guru Nanak's teachings without militant elements.
Nirankari	Reform sect teaching formless God beyond rituals and scriptures.
Nirmala	Scholarly order emphasizing Sanskrit learning and Hindu scriptures.
Sewapanthi	Order emphasizing service to humanity as path to spiritual liberation.
Nihang	Warrior order maintaining martial traditions and distinct appearance.
Taksali	Orthodox group emphasizing strict discipline and scriptural study.
Mina	Sect following Guru Arjan's elder son's rival succession claim.
Ramraiya	Sect following alternative lineage from Guru Har Rai's elder son.
Namdhari	Movement believing in continuing line of living Gurus beyond tenth.
Akhand Kirtani	Movement emphasizing continuous hymn-singing and strict code of conduct.
3HO	Western adaptation teaching kundalini yoga and Sikh spirituality.
Sanatan Sikh	Traditional form maintaining Hindu cultural practices alongside Sikhism. 
Yoga	Spiritual practices integrating physical, mental, and ethical disciplines.
Ananda Yoga	Modern system teaching postures for inner awareness and energy control.
Bhakti yoga	Devotional path cultivating love and surrender to divine.
Hatha yoga	Physical practice using postures and breath for body-mind integration.
Bihar School of Yoga	Systematic approach integrating classical and tantric methods.
Integral Yoga	Swami Satchidananda's synthesis emphasizing interfaith and service.
Jivamukti Yoga	Modern style integrating physical practice with spiritual teachings.
Jnana yoga	Knowledge path using philosophical inquiry and discrimination.
Karma yoga	Action path teaching selfless service without attachment to results.
Kripalu Yoga	Gentle approach emphasizing compassionate self-acceptance and awareness.
Kriya Yoga	Esoteric technique using breath and energy for rapid spiritual progress.
Kundalini yoga	Tantric practice awakening dormant spiritual energy through chakras.
Raja yoga	"Royal yoga" systematizing meditation through Patanjali's eight limbs.
Sahaja Yoga	Modern movement teaching spontaneous kundalini awakening and meditation.
Siddha Yoga	Lineage teaching meditation and guru devotion for self-realization.
Sivananda yoga	Classical approach emphasizing five principles for holistic health.
Surat Shabd Yoga	"Yoga of the Sound Current" meditating on inner light and sound.
Tantric Yoga	Esoteric practices using body, energy, and ritual for transformation. 
Christianity	Abrahamic faith centered on Jesus Christ's life, death, and resurrection.
Arianism	Early view teaching Christ as created being subordinate to God.
Jewish Christianity	Early movement maintaining Jewish law alongside Christian faith.
Pauline Christianity	Gentile mission emphasizing faith over law and Christ's divinity.
Proto-orthodox Christianity	Early mainstream emerging as dominant theological trajectory.
Great Church	Unified pre-schism Christianity before East-West division.
Nicene Christianity	Post-325 orthodoxy affirming Trinity and Christ's full divinity.
Chalcedonian Christianity	Orthodox christology teaching Christ's two natures in one person.
Neo-Chalcedonism	Synthesis reconciling Chalcedon with Cyril's one-nature emphasis.
Johannine Community	Early group behind Gospel and Epistles of John with distinct theology.
Proto-Gnosticism	Incipient dualistic trends preceding full Gnostic systems.
Gnosticism	Dualistic movements teaching salvation through esoteric knowledge.
Bogomilism	Medieval Balkan dualism teaching cosmic struggle of good and evil.
Cainites	Gnostic sect venerating Cain and other biblical outcasts.
Catharism	Medieval French dualism teaching material world as evil creation.
Paulicianism	Armenian dualist movement influencing later medieval heresies.
Sethianism	Gnostic tradition centered on Seth as spiritual progenitor.
Valentinianism	Sophisticated Gnostic system teaching complex divine emanations.
Simonians	Early group following Simon Magus with proto-Gnostic elements.
Marcionism	Movement rejecting Old Testament and Jewish creator God. 
Eastern Christianity	Christian traditions from Eastern Mediterranean and Middle East.
Church of the East (called "Nestorianism")	Ancient Persian church emphasizing Christ's two distinct natures.
Ancient Church of the East	1960s split from Assyrian Church over calendar reform.
Assyrian Church of the East	Continuation of Persian church using traditional East Syriac liturgy.
Chaldean Syrian Church	Indian East Syriac community in communion with Assyrian Church.
Eastern Catholic Churches (part of Catholic Church)	Eastern rite churches in full communion with Rome. 
Albanian Greek Catholic Church	Small Byzantine rite community in Albania under papal authority.
Belarusian Greek Catholic Church	Small Byzantine community reviving after Soviet suppression.
Bulgarian Greek Catholic Church	Tiny Bulgarian Byzantine community in communion with Rome.
Byzantine Catholic Church of Croatia and Serbia	Slavic Byzantine community in Balkans under Rome.
Chaldean Catholic Church	Largest East Syriac Catholic church from Mesopotamian heritage.
Greek Byzantine Catholic Church	Small Byzantine community in Greece maintaining Eastern rite.
Hungarian Byzantine Catholic Church	Byzantine community serving Hungarian and Ruthenian populations.
Italo-Albanian Catholic Church (a.k.a. the "Italo-Greek Catholic Church")	Albanian immigrants in Italy preserving Byzantine liturgy under Rome.
Macedonian Catholic Church	Tiny Slavic Byzantine community seeking recognition and growth.
Maronite Church	Lebanese Catholic church with unique West Syriac rite and tradition.
Melkite Greek Catholic Church	Arab Byzantine church in Middle East maintaining Greek liturgy.
Romanian Greek Catholic Church	Major Byzantine Catholic church facing Romanian state persecution.
Russian Greek Catholic Church	Small community reviving after Soviet-era suppression.
Ruthenian Greek Catholic Church (a.k.a. the "Byzantine Catholic Church" in the United States)	Carpathian Byzantine community prominent in North America.
Slovak Greek Catholic Church	Byzantine community serving Slovak populations in Eastern Europe.
Syriac Catholic Church	West Syriac tradition from Antiochene heritage in communion with Rome.
Syro-Malankara Catholic Church	Indian West Syriac community united with Rome in 1930.
Syro-Malabar Church	Ancient Indian church from St. Thomas Christians with East Syriac rite.
Ukrainian Greek Catholic Church	Largest Eastern Catholic church with strong Ukrainian identity.
(Independent Eastern Catholic Churches)	Eastern rite communities claiming Catholic identity without Rome.
Ukrainian Orthodox Greek Catholic Church	Independent group claiming both Orthodox and Catholic heritage. 
Eastern Orthodox Church (officially the "Orthodox Catholic Church")	Communion of autocephalous churches sharing Byzantine tradition.
Albanian Orthodox Church	National church re-established after communist persecution.
Bulgarian Orthodox Church	Ancient Slavic church with patriarchal status since 927.
Georgian Orthodox Church	National church claiming apostolic foundation by Andrew.
Greek Orthodox Church	Historic Constantinopolitan tradition in modern Greek state.
Old Believers	Russian traditionalists rejecting 17th-century liturgical reforms.
Romanian Orthodox Church	Largest Orthodox church in traditionally Latin territory.
Russian Orthodox Church	Largest Orthodox body with global missionary expansion.
Belarusian Orthodox Church	Exarchate of Russian Church with distinct regional identity.
Serbian Orthodox Church	National church preserving medieval Serbian religious heritage.
True Orthodox Church	Traditionalist groups rejecting ecumenism and modernization.
Old Calendarists	Groups maintaining Julian calendar against revised Julian adoption.
Ukrainian Orthodox Church	National church asserting independence from Russian patriarchate.
Oriental Orthodox Churches (a.k.a. "Non-Chalcedonian" or "Miaphysite"/"Monophysite")	Ancient churches rejecting Council of Chalcedon's christology.
Armenian Apostolic Church	National church claiming apostolic foundation by Thaddeus.
Coptic Orthodox Church	Egyptian church preserving ancient liturgy and monasticism.
Syriac Orthodox Church	West Syriac patriarchate maintaining Antiochene liturgical heritage.
Jacobite Syrian Christian Church (of the St. Thomas Christians in India)	Indian West Syriac Orthodox under Antiochian Patriarch.
Ethiopian Orthodox Church	Ancient African church with unique Hebraic influences.
Eritrean Orthodox Church	National church independent from Ethiopian since 1993.
Malankara Orthodox Syrian Church (of the St. Thomas Christians in India)	Autonomous Indian Oriental Orthodox maintaining Syriac liturgy.
Spiritual Christianity	Russian mystical movements emphasizing inner spirituality over ritual. 
Western Christianity	Latin/Roman tradition centered on papal authority and Roman rite.
Chalcedonian Christianity	Western churches accepting Chalcedonian christology formula.
Proto-Protestantism	Medieval reform movements anticipating Protestant themes.
Brethren of the Free Spirit (Historical)	Medieval mystical antinomians teaching union with God.
Hussites (Historical)	Bohemian reform movement following Jan Hus's teachings.
Czech Brethren	Hussite descendants emphasizing simple biblical Christianity.
Moravians	Renewed Unity of Brethren emphasizing missions and pietism.
Lollardy (Historical)	English movement following Wycliffe's biblical reform ideas.
Strigolniki (Historical)	Russian lay reform movement rejecting corrupt clergy and sacraments.
Waldensians	Medieval poor movement later joining Protestant Reformation.
Protestantism	Reformation traditions emphasizing scripture, faith, and grace alone.
Anabaptists (Radical Protestants)	Reform movement practicing adult baptism and separation from state. 
Amish	Conservative Anabaptists maintaining traditional dress and horse-drawn transport.
Hutterites	Communal Anabaptists practicing complete sharing of property and goods.
Mennonites	Peace church emphasizing nonviolence, simple living, and adult baptism.
River Brethren	American Anabaptist group combining Mennonite and Pietist influences.
Schwarzenau Brethren	German Baptist movement emphasizing trine immersion and simple living.
Anglicanism	English Reformation church balancing Catholic and Protestant elements.
Anglo-Catholicism	High church movement emphasizing sacraments and continuity with Rome.
Continuing Anglican movement	Conservative groups rejecting liberal Anglican innovations.
Evangelical Anglicanism	Low church movement emphasizing biblical authority and conversion.
Baptists	Protestant tradition emphasizing believer's baptism and congregational polity.
Black church	African American Christianity with distinct worship and social witness.
Black theology	Liberation theology addressing racism and African American experience.
Charismatic Christianity	Movements emphasizing spiritual gifts and Holy Spirit experience.
Pentecostalism ("First wave")	Early 20th-century revival emphasizing tongues and Spirit baptism.
Oneness Pentecostalism	Non-Trinitarian Pentecostals teaching Jesus-only theology and baptism.
Word of Faith	Prosperity gospel teaching faith-based health and wealth.
Charismatic movement ("Second wave")	1960s renewal bringing Pentecostal experiences to mainline churches.
Neo-charismatic movement ("Third wave")	Independent charismatics outside classical Pentecostalism.
Christian deism	Rationalist view accepting Jesus' ethics while rejecting supernatural elements. 
Confessing Movement	Mainline Protestant renewal emphasizing orthodox doctrine and practice.
Evangelicalism	Protestant movement emphasizing conversion, Bible, and evangelism.
Progressive Christianity	Liberal Protestantism emphasizing social justice and inclusivity.
Protestant fundamentalism	Conservative movement defending biblical inerrancy and traditional doctrine.
Lutheranism	Reformation tradition following Martin Luther's theology of grace.
Evangelical Catholic	Lutheran movement emphasizing liturgical and sacramental continuity.
Neo-Lutheranism	19th-century confessional revival opposing rationalism and pietism.
Pietism	Movement emphasizing personal devotion and holy living over doctrine.
Methodism	Wesleyan movement emphasizing personal holiness and social action.
Calvinistic Methodists	Welsh revival combining Wesleyan methods with Reformed theology.
Holiness movement	Revival emphasizing entire sanctification and personal piety.
Wesleyanism	Arminian Methodist tradition following Wesley's theology and practice.
Puritans	English Reformed movement seeking to purify church of Catholic remnants.
Quakers	"Friends" emphasizing Inner Light and silent worship without clergy.
Reformed churches	Calvinist traditions emphasizing sovereignty of God and predestination.
Amyraldism (a.k.a."four-point Calvinism")	Modified Calvinism teaching universal atonement with limited application.
Arminianism	Reformed alternative teaching conditional election and resistible grace.
Christian reconstructionism	Theonomist movement advocating biblical law in civil government.
Congregational churches	Reformed polity with autonomous local church governance.
